VID	x	y	z
140	2.95276	1.96851	0
141	3.93701	1.96851	0
142	3.93701	2.95276	0
143	2.95276	2.95276	0
144	3.93701	1.96851	0
145	4.92126	1.96851	0
146	4.92126	2.95276	0
147	3.93701	2.95276	0
148	4.92126	1.96851	0
149	5.90552	1.96851	0
150	5.90552	2.95276	0
151	4.92126	2.95276	0
152	5.90552	1.96851	0
153	6.88977	1.96851	0
154	6.88977	2.95276	0
155	5.90552	2.95276	0
156	6.88977	1.96851	0
157	7.87402	1.96851	0
158	7.87402	2.95276	0
159	6.88977	2.95276	0
160	7.87402	1.96851	0
161	8.85827	1.96851	0
162	8.85827	2.95276	0
163	7.87402	2.95276	0
164	8.85827	1.96851	0
165	9.84252	1.96851	0
166	9.84252	2.95276	0
167	8.85827	2.95276	0
168	9.84252	1.96851	0
169	10.8268	1.96851	0
170	10.8268	2.95276	0
171	9.84252	2.95276	0
172	10.8268	1.96851	0
173	11.811	1.96851	0
174	11.811	2.95276	0
175	10.8268	2.95276	0
176	11.811	1.96851	0
177	12.7953	1.96851	0
178	12.7953	2.95276	0
179	11.811	2.95276	0
180	12.7953	1.96851	0
181	13.7795	1.96851	0
182	13.7795	2.95276	0
183	12.7953	2.95276	0
184	13.7795	1.96851	0
185	14.7638	1.96851	0
186	14.7638	2.95276	0
187	13.7795	2.95276	0
188	14.7638	1.96851	0
189	15.748	1.96851	0
190	15.748	2.95276	0
191	14.7638	2.95276	0
192	0	2.95276	0
193	0.984253	2.95276	0
194	0.984253	3.93701	0
195	0	3.93701	0
196	0.984253	2.95276	0
197	1.96851	2.95276	0
198	1.96851	3.93701	0
199	0.984253	3.93701	0
200	1.96851	2.95276	0
201	2.95276	2.95276	0
202	2.95276	3.93701	0
203	1.96851	3.93701	0
204	2.95276	2.95276	0
205	3.93701	2.95276	0
206	3.93701	3.93701	0
207	2.95276	3.93701	0
208	3.93701	2.95276	0
209	4.92126	2.95276	0
210	4.92126	3.93701	0
211	3.93701	3.93701	0
212	4.92126	2.95276	0
213	5.90552	2.95276	0
214	5.90552	3.93701	0
215	4.92126	3.93701	0
216	5.90552	2.95276	0
217	6.88977	2.95276	0
218	6.88977	3.93701	0
219	5.90552	3.93701	0
220	6.88977	2.95276	0
221	7.87402	2.95276	0
222	7.87402	3.93701	0
223	6.88977	3.93701	0
224	7.87402	2.95276	0
225	8.85827	2.95276	0
226	8.85827	3.93701	0
