Drive	Sense	Phase	Amp	Gain	Offset
13	14	43	65	80	105
13	15	43	65	80	101
14	0	43	65	80	100
14	1	43	65	80	102
14	2	43	65	80	102
14	3	43	65	80	104
14	4	43	65	80	106
14	5	43	65	80	107
14	6	43	65	80	107
14	7	43	65	80	106
14	8	43	65	80	105
14	9	43	65	80	105
14	10	43	65	80	108
14	11	43	65	80	109
14	12	43	65	80	109
14	13	43	65	80	108
14	14	43	65	80	104
14	15	43	65	80	103
15	0	43	65	80	101
15	1	43	65	80	104
15	2	43	65	80	104
15	3	43	65	80	103
15	4	43	65	80	104
15	5	43	65	80	104
15	6	43	65	80	106
15	7	43	65	80	105
15	8	43	65	80	104
15	9	43	65	80	105
15	10	43	65	80	108
15	11	43	65	80	107
15	12	43	65	80	107
15	13	43	65	80	105
15	14	43	65	80	105
15	15	43	65	80	108
16	16	43	65	80	94
16	17	43	65	80	97
16	18	43	65	80	97
16	19	43	65	80	100
16	20	43	65	80	103
16	21	43	65	80	102
16	22	43	65	80	103
16	23	43	65	80	102
16	24	43	65	80	106
16	25	43	65	80	106
16	26	43	65	80	103
16	27	43	65	80	106
16	28	43	65	80	109
16	29	43	65	80	105
16	30	43	65	80	103
16	31	43	65	80	103
17	16	43	65	80	97
17	17	43	65	80	99
17	18	43	65	80	101
17	19	43	65	80	103
17	20	43	65	80	104
17	21	43	65	80	102
17	22	43	65	80	103
17	23	43	65	80	104
17	24	43	65	80	105
17	25	43	65	80	106
17	26	43	65	80	106
17	27	43	65	80	108
17	28	43	65	80	109
17	29	43	65	80	108
17	30	43	65	80	106
17	31	43	65	80	103
18	16	43	65	80	96
18	17	43	65	80	101
18	18	43	65	80	102
18	19	43	65	80	103
18	20	43	65	80	104
18	21	43	65	80	104
18	22	43	65	80	102
18	23	43	65	80	105
18	24	43	65	80	105
18	25	43	65	80	106
18	26	43	65	80	108
18	27	43	65	80	108
18	28	43	65	80	107
18	29	43	65	80	108
18	30	43	65	80	107
18	31	43	65	80	106
19	16	43	65	80	101
19	17	43	65	80	103
19	18	43	65	80	105
19	19	43	65	80	105
19	20	43	65	80	105
19	21	43	65	80	105
19	22	43	65	80	104
19	23	43	65	80	105
19	24	43	65	80	105
19	25	43	65	80	106
19	26	43	65	80	108
19	27	43	65	80	106
19	28	43	65	80	106
19	29	43	65	80	106
19	30	43	65	80	107
19	31	43	65	80	105
20	16	43	65	80	101
20	17	43	65	80	104
20	18	43	65	80	106
20	19	43	65	80	107
20	20	43	65	80	107
20	21	43	65	80	106
20	22	43	65	80	105
