VID	x	y	z
330	5.192	2.596	0
331	5.428	2.596	0
332	5.664	2.596	0
333	5.9	2.596	0
334	6.136	2.596	0
335	6.372	2.596	0
336	0	2.832	0
337	0.236	2.832	0
338	0.472	2.832	0
339	0.708	2.832	0
340	0.944	2.832	0
341	1.18	2.832	0
342	1.416	2.832	0
343	1.652	2.832	0
344	1.888	2.832	0
345	2.124	2.832	0
346	2.36	2.832	0
347	2.596	2.832	0
348	2.832	2.832	0
349	3.068	2.832	0
350	3.304	2.832	0
351	3.54	2.832	0
352	3.776	2.832	0
353	4.012	2.832	0
354	4.248	2.832	0
355	4.484	2.832	0
356	4.72	2.832	0
357	4.956	2.832	0
358	5.192	2.832	0
359	5.428	2.832	0
360	5.664	2.832	0
361	5.9	2.832	0
362	6.136	2.832	0
363	6.372	2.832	0
364	0	3.068	0
365	0.236	3.068	0
366	0.472	3.068	0
367	0.708	3.068	0
368	0.944	3.068	0
369	1.18	3.068	0
370	1.416	3.068	0
371	1.652	3.068	0
372	1.888	3.068	0
373	2.124	3.068	0
374	2.36	3.068	0
375	2.596	3.068	0
376	2.832	3.068	0
377	3.068	3.068	0
378	3.304	3.068	0
379	3.54	3.068	0
380	3.776	3.068	0
381	4.012	3.068	0
382	4.248	3.068	0
383	4.484	3.068	0
384	4.72	3.068	0
385	4.956	3.068	0
386	5.192	3.068	0
387	5.428	3.068	0
388	5.664	3.068	0
389	5.9	3.068	0
390	6.136	3.068	0
391	6.372	3.068	0
392	0	3.304	0
393	0.236	3.304	0
394	0.472	3.304	0
395	0.708	3.304	0
396	0.944	3.304	0
397	1.18	3.304	0
398	1.416	3.304	0
399	1.652	3.304	0
400	1.888	3.304	0
401	2.124	3.304	0
402	2.36	3.304	0
403	2.596	3.304	0
404	2.832	3.304	0
405	3.068	3.304	0
406	3.304	3.304	0
407	3.54	3.304	0
408	3.776	3.304	0
409	4.012	3.304	0
410	4.248	3.304	0
411	4.484	3.304	0
412	4.72	3.304	0
413	4.956	3.304	0
414	5.192	3.304	0
415	5.428	3.304	0
416	5.664	3.304	0
417	5.9	3.304	0
418	6.136	3.304	0
419	6.372	3.304	0
420	0	3.54	0
421	0.236	3.54	0
422	0.472	3.54	0
423	0.708	3.54	0
424	0.944	3.54	0
425	1.18	3.54	0
426	1.416	3.54	0
427	1.652	3.54	0
428	1.888	3.54	0
429	2.124	3.54	0
430	2.36	3.54	0
431	2.596	3.54	0
432	2.832	3.54	0
433	3.068	3.54	0
434	3.304	3.54	0
435	3.54	3.54	0
436	3.776	3.54	0
437	4.012	3.54	0
438	4.248	3.54	0
439	4.484	3.54	0
440	4.72	3.54	0
441	4.956	3.54	0
442	5.192	3.54	0
443	5.428	3.54	0
444	5.664	3.54	0
445	5.9	3.54	0
446	6.136	3.54	0
447	6.372	3.54	0
448	0	3.776	0
449	0.236	3.776	0
450	0.472	3.776	0
451	0.708	3.776	0
452	0.944	3.776	0
453	1.18	3.776	0
454	1.416	3.776	0
455	1.652	3.776	0
456	1.888	3.776	0
457	2.124	3.776	0
458	2.36	3.776	0
459	2.596	3.776	0
460	2.832	3.776	0
461	3.068	3.776	0
462	3.304	3.776	0
463	3.54	3.776	0
464	3.776	3.776	0
465	4.012	3.776	0
466	4.248	3.776	0
467	4.484	3.776	0
468	4.72	3.776	0
469	4.956	3.776	0
470	5.192	3.776	0
471	5.428	3.776	0
472	5.664	3.776	0
473	5.9	3.776	0
474	6.136	3.776	0
475	6.372	3.776	0
476	0	4.012	0
477	0.236	4.012	0
478	0.472	4.012	0
479	0.708	4.012	0
480	0.944	4.012	0
481	1.18	4.012	0
482	1.416	4.012	0
483	1.652	4.012	0
484	1.888	4.012	0
485	2.124	4.012	0
486	2.36	4.012	0
487	2.596	4.012	0
488	2.832	4.012	0
489	3.068	4.012	0
490	3.304	4.012	0
491	3.54	4.012	0
492	3.776	4.012	0
493	4.012	4.012	0
494	4.248	4.012	0
495	4.484	4.012	0
496	4.72	4.012	0
497	4.956	4.012	0
498	5.192	4.012	0
499	5.428	4.012	0
500	5.664	4.012	0
501	5.9	4.012	0
502	6.136	4.012	0
503	6.372	4.012	0
504	0	4.248	0
505	0.236	4.248	0
506	0.472	4.248	0
507	0.708	4.248	0
508	0.944	4.248	0
509	1.18	4.248	0
510	1.416	4.248	0
511	1.652	4.248	0
512	1.888	4.248	0
513	2.124	4.248	0
514	2.36	4.248	0
515	2.596	4.248	0
516	2.832	4.248	0
517	3.068	4.248	0
518	3.304	4.248	0
519	3.54	4.248	0
520	3.776	4.248	0
521	4.012	4.248	0
522	4.248	4.248	0
523	4.484	4.248	0
524	4.72	4.248	0
525	4.956	4.248	0
526	5.192	4.248	0
527	5.428	4.248	0
528	5.664	4.248	0
529	5.9	4.248	0
530	6.136	4.248	0
531	6.372	4.248	0
532	0	4.484	0
533	0.236	4.484	0
534	0.472	4.484	0
535	0.708	4.484	0
536	0.944	4.484	0
537	1.18	4.484	0
538	1.416	4.484	0
539	1.652	4.484	0
540	1.888	4.484	0
541	2.124	4.484	0
542	2.36	4.484	0
543	2.596	4.484	0
544	2.832	4.484	0
545	3.068	4.484	0
546	3.304	4.484	0
547	3.54	4.484	0
548	3.776	4.484	0
549	4.012	4.484	0
550	4.248	4.484	0
551	4.484	4.484	0
552	4.72	4.484	0
553	4.956	4.484	0
554	5.192	4.484	0
555	5.428	4.484	0
556	5.664	4.484	0
557	5.9	4.484	0
558	6.136	4.484	0
559	6.372	4.484	0
560	0	4.72	0
561	0.236	4.72	0
562	0.472	4.72	0
563	0.708	4.72	0
564	0.944	4.72	0
565	1.18	4.72	0
566	1.416	4.72	0
567	1.652	4.72	0
568	1.888	4.72	0
569	2.124	4.72	0
570	2.36	4.72	0
571	2.596	4.72	0
572	2.832	4.72	0
573	3.068	4.72	0
574	3.304	4.72	0
575	3.54	4.72	0
576	3.776	4.72	0
577	4.012	4.72	0
578	4.248	4.72	0
579	4.484	4.72	0
580	4.72	4.72	0
581	4.956	4.72	0
582	5.192	4.72	0
583	5.428	4.72	0
584	5.664	4.72	0
585	5.9	4.72	0
586	6.136	4.72	0
587	6.372	4.72	0
588	0	4.956	0
589	0.236	4.956	0
590	0.472	4.956	0
591	0.708	4.956	0
592	0.944	4.956	0
593	1.18	4.956	0
594	1.416	4.956	0
595	1.652	4.956	0
596	1.888	4.956	0
597	2.124	4.956	0
598	2.36	4.956	0
599	2.596	4.956	0
600	2.832	4.956	0
601	3.068	4.956	0
602	3.304	4.956	0
603	3.54	4.956	0
604	3.776	4.956	0
605	4.012	4.956	0
606	4.248	4.956	0
607	4.484	4.956	0
608	4.72	4.956	0
609	4.956	4.956	0
610	5.192	4.956	0
611	5.428	4.956	0
612	5.664	4.956	0
613	5.9	4.956	0
614	6.136	4.956	0
615	6.372	4.956	0
